VIN,Shipping Status,Base MSRP,Pre-Sold,Hold Status,Year,Drivetrain,Model,Color,Dealer,Dealer Website,Dealer State,Dealer Price,Markup,Image
2T3B6RFV3PW17D925,Factory to port,35125,True,DealerHold,2023,hybrid,XLE Premium,Magnetic Gray Metallic,Auburn Toyota,https://www.auburntoyota.com,CA,36617.0,1492.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/81adc61e800f04245f48a996bd75a71a3fdb4548844d48c6c6ff64ee039f46ce_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_01G3_002_DS_Front_3_4_6K.png
2T3B6RFV3PW17E640,Factory to port,35125,False,DealerHold,2023,hybrid,XLE Premium,Lunar Rock,Toyota of Smithfield,https://www.toyotaofsmithfield.com,RI,38120.0,2995.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/e8d412c527e8811d2c6a2d790146a1754fc54057dc1205f1ebce68ffdd88866d_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_06X3_002_DS_Front_3_4_6K.png
2T3B6RFV3PW18J616,Factory to port,35125,False,,2023,hybrid,XLE Premium,Magnetic Gray Metallic,"Glen Motors, Inc.",https://www.glentoyota.com,NJ,35125.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/81adc61e800f04245f48a996bd75a71a3fdb4548844d48c6c6ff64ee039f46ce_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_01G3_002_DS_Front_3_4_6K.png
2T3B6RFV3PW19D785,Factory to port,35625,False,,2023,hybrid,XLE Premium,Midnight Black Metallic,Hillside Toyota,https://www.hillsidetoyota.nyc,NY,35625.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/a9927a2fb70fc2829db4714b5efc7efa3d2e63d01e369f6d156b6762dc6a8993_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_0218_002_DS_Front_3_4_6K.png
2T3B6RFV3PW19D799,Factory to port,35625,False,,2023,hybrid,XLE Premium,Midnight Black Metallic,"Glen Motors, Inc.",https://www.glentoyota.com,NJ,35625.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/a9927a2fb70fc2829db4714b5efc7efa3d2e63d01e369f6d156b6762dc6a8993_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_0218_002_DS_Front_3_4_6K.png
2T3B6RFV4PW16I071,Factory to port,35125,True,,2023,hybrid,XLE Premium,Lunar Rock,One Toyota of Oakland,https://www.onetoyota.com,CA,35125.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/e8d412c527e8811d2c6a2d790146a1754fc54057dc1205f1ebce68ffdd88866d_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_06X3_002_DS_Front_3_4_6K.png
2T3B6RFV5PW038599,Port to dealer,35125,True,DealerHold,2023,hybrid,XLE Premium,Midnight Black Metallic,Grappone Toyota,https://www.grapponetoyota.com,NH,35125.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/a9927a2fb70fc2829db4714b5efc7efa3d2e63d01e369f6d156b6762dc6a8993_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_0218_002_DS_Front_3_4_6K.png
2T3B6RFV5PW18H440,Factory to port,35625,True,Available,2023,hybrid,XLE Premium,Lunar Rock,Hoselton Toyota,https://www.hoseltontoyota.com,NY,35625.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/e8d412c527e8811d2c6a2d790146a1754fc54057dc1205f1ebce68ffdd88866d_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_06X3_002_DS_Front_3_4_6K.png
2T3B6RFV6PW038143,Port to dealer,35125,False,Available,2023,hybrid,XLE Premium,Midnight Black Metallic,Coggins Toyota of Bennington,https://www.cogginstoyotaofbennington.com,VT,35125.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/a9927a2fb70fc2829db4714b5efc7efa3d2e63d01e369f6d156b6762dc6a8993_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_0218_002_DS_Front_3_4_6K.png
2T3B6RFV7PW038524,Port to dealer,35125,False,Available,2023,hybrid,XLE Premium,Midnight Black Metallic,Coggins Toyota of Bennington,https://www.cogginstoyotaofbennington.com,VT,35125.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/a9927a2fb70fc2829db4714b5efc7efa3d2e63d01e369f6d156b6762dc6a8993_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_0218_002_DS_Front_3_4_6K.png
