Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer Website,Dealer State,Image
2023,XSE,Magnetic Gray Metallic/Midnight Black Metallic Roof,AWD,46210,0.0,46210.0,Factory to port,False,,JTMEB3FVXPD133467,Johnstons Toyota,https://www.johnstonstoyota.com,NY,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4prime/exteriorcolor/carjellyimage/4a3bee931d5d177c5181b96e02137d7c6fbd4050fa3af4ef7b5d60a7bd2a4c31_MY22_Rav4_US_XSE_Prime_02QZ_002_DS_Front_3_4_6K.png
2023,XSE,Wind Chill Pearl/Midnight Black Metallic Roof,AWD,46210,0.0,46210.0,Factory to port,False,,JTMEB3FVXPD133548,Temecula Valley Toyota,https://www.tvtoyota.com,CA,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4prime/exteriorcolor/carjellyimage/31e904f0963b75b958e6425fa80773db538eafbfd5758e0cdb73cd62c9b674d5_MY23_Rav4_US_XSE-Prime_0089_002_DS-Front-3-4_6K.png
2023,XSE,Wind Chill Pearl/Midnight Black Metallic Roof,AWD,46210,5580.0,51790.0,Port to dealer,False,,JTMEB3FVXPD133713,Kearny Mesa Toyota,https://www.kearnymesatoyota.com,CA,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4prime/exteriorcolor/carjellyimage/31e904f0963b75b958e6425fa80773db538eafbfd5758e0cdb73cd62c9b674d5_MY23_Rav4_US_XSE-Prime_0089_002_DS-Front-3-4_6K.png
2023,XSE,Silver Sky Metallic/Midnight Black Metallic Roof,AWD,46210,0.0,46210.0,Factory to port,False,,JTMEB3FVXPD133744,Rivera Toyota of Mt. Kisco,https://www.riveratoyota.com,NY,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4prime/exteriorcolor/carjellyimage/740cf5f3ab6857ca792f8f2df4d2fadc75b51a8711c9431deee81e03a8bff978_MY22_Rav4_US_XSE_Prime_02QY_002_DS_Front_3_4_6K.png
2023,XSE,Magnetic Gray Metallic/Midnight Black Metallic Roof,AWD,46210,0.0,46210.0,Factory to port,False,DealerHold,JTMEB3FVXPD133761,Perry Motors Toyota,https://www.perrymotorstoyota.com,CA,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4prime/exteriorcolor/carjellyimage/4a3bee931d5d177c5181b96e02137d7c6fbd4050fa3af4ef7b5d60a7bd2a4c31_MY22_Rav4_US_XSE_Prime_02QZ_002_DS_Front_3_4_6K.png
2023,XSE,Silver Sky Metallic/Midnight Black Metallic Roof,AWD,46210,0.0,46210.0,Factory to port,False,,JTMEB3FVXPD134294,Toyota of Glendora,https://www.toyotaofglendora.com,CA,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4prime/exteriorcolor/carjellyimage/740cf5f3ab6857ca792f8f2df4d2fadc75b51a8711c9431deee81e03a8bff978_MY22_Rav4_US_XSE_Prime_02QY_002_DS_Front_3_4_6K.png
2023,XSE,Silver Sky Metallic/Midnight Black Metallic Roof,AWD,46210,0.0,46210.0,Factory to port,False,,JTMEB3FVXPD134344,Gosch Toyota,https://www.goschtoyota.com,CA,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4prime/exteriorcolor/carjellyimage/740cf5f3ab6857ca792f8f2df4d2fadc75b51a8711c9431deee81e03a8bff978_MY22_Rav4_US_XSE_Prime_02QY_002_DS_Front_3_4_6K.png
2023,XSE,Wind Chill Pearl/Midnight Black Metallic Roof,AWD,46210,0.0,46210.0,Factory to port,False,,JTMEB3FVXPD134702,Toyota of Manhattan,https://www.toyotaofmanhattan.com,NY,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4prime/exteriorcolor/carjellyimage/31e904f0963b75b958e6425fa80773db538eafbfd5758e0cdb73cd62c9b674d5_MY23_Rav4_US_XSE-Prime_0089_002_DS-Front-3-4_6K.png
2023,XSE,Magnetic Gray Metallic/Midnight Black Metallic Roof,AWD,46210,0.0,46210.0,Factory to port,True,DealerHold,JTMEB3FVXPD134750,Northtown Toyota,https://www.northtowntoyota.com,NY,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4prime/exteriorcolor/carjellyimage/4a3bee931d5d177c5181b96e02137d7c6fbd4050fa3af4ef7b5d60a7bd2a4c31_MY22_Rav4_US_XSE_Prime_02QZ_002_DS_Front_3_4_6K.png
2023,XSE,Wind Chill Pearl/Midnight Black Metallic Roof,AWD,46210,0.0,46210.0,Factory to port,False,,JTMEB3FVXPD134960,Santa Margarita Toyota,https://www.santamargaritatoyota.com,CA,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4prime/exteriorcolor/carjellyimage/31e904f0963b75b958e6425fa80773db538eafbfd5758e0cdb73cd62c9b674d5_MY23_Rav4_US_XSE-Prime_0089_002_DS-Front-3-4_6K.png
2023,XSE,Wind Chill Pearl/Midnight Black Metallic Roof,AWD,46210,0.0,46210.0,Factory to port,False,,JTMEB3FVXPD135042,Colonial Toyota,https://www.colonialtoyotact.com,CT,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4prime/exteriorcolor/carjellyimage/31e904f0963b75b958e6425fa80773db538eafbfd5758e0cdb73cd62c9b674d5_MY23_Rav4_US_XSE-Prime_0089_002_DS-Front-3-4_6K.png
2023,XSE,Magnetic Gray Metallic/Midnight Black Metallic Roof,AWD,46210,0.0,46210.0,Factory to port,False,,JTMEB3FVXPD135297,Westchester Toyota,https://www.westchestertoyota.com,NY,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4prime/exteriorcolor/carjellyimage/4a3bee931d5d177c5181b96e02137d7c6fbd4050fa3af4ef7b5d60a7bd2a4c31_MY22_Rav4_US_XSE_Prime_02QZ_002_DS_Front_3_4_6K.png
2023,XSE,Magnetic Gray Metallic/Midnight Black Metallic Roof,AWD,46210,0.0,46210.0,Factory to port,False,,JTMEB3FVXPD135705,East Coast Toyota,https://www.eastcoasttoyota.com,NJ,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4prime/exteriorcolor/carjellyimage/4a3bee931d5d177c5181b96e02137d7c6fbd4050fa3af4ef7b5d60a7bd2a4c31_MY22_Rav4_US_XSE_Prime_02QZ_002_DS_Front_3_4_6K.png
2023,XSE,Silver Sky Metallic/Midnight Black Metallic Roof,AWD,46210,0.0,46210.0,Port to dealer,True,DealerHold,JTMFB3FV0PD125351,Smart Toyota,https://www.smarttoyota.com,WI,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4prime/exteriorcolor/carjellyimage/740cf5f3ab6857ca792f8f2df4d2fadc75b51a8711c9431deee81e03a8bff978_MY22_Rav4_US_XSE_Prime_02QY_002_DS_Front_3_4_6K.png
2023,XSE,Blueprint/Midnight Black Metallic Roof,AWD,46210,0.0,46210.0,Port to dealer,True,DealerHold,JTMFB3FV0PD130520,Toyota of Watertown,https://www.toyotaofwatertown.com,MA,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4prime/exteriorcolor/carjellyimage/1f0655bdaeccb5a3b3285bd489d23911ee34a4e2846c9989a54ddc212ea1048f_MY22_Rav4_US_XSE_Prime_02RA_002_DS_Front_3_4_6K.png
2023,XSE,Magnetic Gray Metallic/Midnight Black Metallic Roof,AWD,46210,0.0,46210.0,Port to dealer,False,DealerHold,JTMFB3FV0PD130811,Empire Toyota,https://www.empiretoyota.com,NY,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4prime/exteriorcolor/carjellyimage/4a3bee931d5d177c5181b96e02137d7c6fbd4050fa3af4ef7b5d60a7bd2a4c31_MY22_Rav4_US_XSE_Prime_02QZ_002_DS_Front_3_4_6K.png
2023,XSE,Magnetic Gray Metallic/Midnight Black Metallic Roof,AWD,46210,1290.0,47500.0,Port to dealer,False,,JTMFB3FV0PD133711,Toyota of Redlands,https://www.toyotaofredlands.com,CA,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4prime/exteriorcolor/carjellyimage/4a3bee931d5d177c5181b96e02137d7c6fbd4050fa3af4ef7b5d60a7bd2a4c31_MY22_Rav4_US_XSE_Prime_02QZ_002_DS_Front_3_4_6K.png
2023,XSE,Magnetic Gray Metallic/Midnight Black Metallic Roof,AWD,46210,0.0,46210.0,Factory to port,False,DealerHold,JTMFB3FV0PD134163,Claremont Toyota,https://www.claremonttoyota.com,CA,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4prime/exteriorcolor/carjellyimage/4a3bee931d5d177c5181b96e02137d7c6fbd4050fa3af4ef7b5d60a7bd2a4c31_MY22_Rav4_US_XSE_Prime_02QZ_002_DS_Front_3_4_6K.png
2022,XSE,Supersonic Red/Midnight Black Metallic Roof,AWD,43625,0.0,43625.0,At dealer,False,Available,JTMFB3FV1ND098626,Jim Ellis Toyota of McDonough,https://www.jimellistoyota.com,GA,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4prime/exteriorcolor/carjellyimage/25a60c8b086ba1d887832c6f98617667a5803ad5de59f0caa90fc4673ee0fee7_MY22_Rav4_US_XSE_Prime_02SC_002_DS_Front_3_4_6K.png
2023,XSE,Wind Chill Pearl/Midnight Black Metallic Roof,AWD,46210,0.0,46210.0,Port to dealer,False,DealerHold,JTMFB3FV1PD131904,Thousand Oaks Toyota,https://www.totoyota.com,CA,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4prime/exteriorcolor/carjellyimage/31e904f0963b75b958e6425fa80773db538eafbfd5758e0cdb73cd62c9b674d5_MY23_Rav4_US_XSE-Prime_0089_002_DS-Front-3-4_6K.png
2023,XSE,Supersonic Red/Midnight Black Metallic Roof,AWD,46210,0.0,46210.0,Port to dealer,True,DealerHold,JTMFB3FV2PD130499,Younger Toyota,https://www.youngertoyota.com,MD,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4prime/exteriorcolor/carjellyimage/39028de8e8c8fb54c7f387478f1ed6283054b1bd145d07d37a32d81521eb241d_MY22_Rav4_US_XSE_Prime_02SC_002_DS_Front_3_4_6K.png
2023,XSE,Supersonic Red/Midnight Black Metallic Roof,AWD,46210,0.0,46210.0,Factory to port,False,,JTMFB3FV2PD133998,Maita's Toyota of Sacramento,https://www.maitatoyota.com,CA,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4prime/exteriorcolor/carjellyimage/39028de8e8c8fb54c7f387478f1ed6283054b1bd145d07d37a32d81521eb241d_MY22_Rav4_US_XSE_Prime_02SC_002_DS_Front_3_4_6K.png
